pmid,title,abstract
41342387,Triple 'P' syndrome: Clinical recognition of a rare triad.,"Pancreatitis-panniculitis-polyarthritis (PPP) syndrome is a rare extra-pancreatic manifestation of pancreatic disease. Its pathogenesis is probably related to the direct release of pancreatic lipase into the bloodstream, causing systemic fat necrosis. Initial treatment involves symptomatic relief, while addressing the underlying pancreatic enzyme leakage through endoscopic or surgical interventions. We report the case of a 10-year old girl who presented with abdominal symptoms, ascites, pleural effusion, panniculitis, and arthritis, and was ultimately diagnosed with chronic pancreatitis with associated PPP syndrome. She was successfully treated with percutaneous drainage, antibiotics, and endoscopic pancreatic duct stenting. This case highlights the importance of recognising systemic signs of pancreatic disease in children, which, if left untreated, can lead to significant morbidity and mortality."
41334641,Prognosis of patients with carotid blowout syndrome in the era of endovascular interventions.,"To analyse the prognosis of carotid blowout syndrome (CBS) after endovascular interventions in patients with head and neck cancer. We conducted a retrospective study at a tertiary centre (2000-2019), including demographics, medical history, treatment details, and outcomes of CBS. Among 44 patients with CBS (32 males, 12 females; mean age 65 ± 14 years), squamous cell carcinoma histotype and laryngeal localisation were most common, with 84% having advanced-staged disease. Significant risk factors included prior surgery (70%), neck dissection (48%), radiation (55%), and chemotherapy (66%). Pharyngocutaneous fistula and tracheostomy were present in 32% and 57% of cases, respectively. Radiological findings showed threatened bleeding (62%), sentinel bleeding (11%), and acute rupture (27%). Endovascular treatment achieved haemostasis in 95% of cases, with an 11% rate of acute ischaemic complications. Six-month survival was 28%, with 66% of deaths due to disease progression. Recurrent bleeding occurred in 16% of cases. CBS is a severe complication with a high risk of rebleeding. Endovascular interventions effectively manage bleeding with low rates of complication."
41325403,The experience of demoralization syndrome in patients with decompensated cirrhosis: A qualitative research.,"Demoralization syndrome presents a significant psychological challenge for patients grappling with decompensated cirrhosis, detrimentally impacting their prognosis and quality of life. This study aims to elucidate the experience of demoralization syndrome in these patients and to inform the development of targeted interventions. Through purposeful sampling, semi-structured interviews were carried out with patients receiving treatment at tertiary hospitals in Changsha City, Hunan Province, China, from July to November 2023. Data analysis employed Colaizzi's seven-step method. Among the 18 participants-comprising 12 males and 6 females, aged between 27 and 60 years-interview data revealed 4 themes and 11 sub-themes, including sources of demoralization syndrome (internal and external factors); impact of demoralization syndrome (sleep disturbance, suicidal ideation, social isolation); coping strategies of demoralization syndrome (submission and endurance, avoidance and concealment, acceptance of confronting); mitigation of demoralization syndrome support needs (medical resources, emotional catharsis, social support). Given the diverse sources and implications of demoralization syndrome in patients contending with decompensated cirrhosis, healthcare professionals should prioritize psychological assessment and formulate multidimensional intervention strategies to alleviate its severity."
41320216,K-LARS trial: protocol for a multicentre randomised controlled trial evaluating a knowledge-enhanced digital intervention to prevent low anterior resection syndrome in Korea.,"Low anterior resection syndrome (LARS) is a common functional complication after sphincter-preserving surgery for rectal cancer that significantly impairs the quality of life. Current postoperative management strategies are suboptimal, and effective preventive approaches are lacking. This study aims to evaluate the impact of a mobile-based, knowledge-enhanced digital intervention for reducing the incidence of major LARS. This is a multicentre, open-label, parallel-group, randomised controlled trial to be conducted across three academic medical centres in Korea. A total of 300 adult patients who underwent low anterior resection or stoma reversal after rectal cancer surgery will be randomly assigned in a 1:1 ratio to the intervention group (mobile digital programme) or the control group (standard educational materials). The digital programme includes daily symptom monitoring, exercise suggestions, dietary recommendations and structured feedback from healthcare providers during clinical visits based on outcomes. The primary outcome is the incidence of major LARS (score ≥30) at 12 months postoperatively. Secondary outcomes include longitudinal changes in LARS score, quality of life (European Organisation for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (QLQ)-Core 30 (C30), EORTC QLQ-Colorectal Cancer 29 (CR29)), European Quality of Life 5 Dimensions Level Version (EQ-5D-5L), patient satisfaction and programme adherence. Statistical analyses will include stratified chi-squared tests and mixed-effects models based on the intention-to-treat principle. The trial received ethical approval from the Institutional Review Board of the National Cancer Centre, Korea. Written informed consent will be obtained from all participants. The findings will be disseminated through peer-reviewed publications and conference presentations. NCT07041515."
41317280,Ticked Off: Allergic Effector Cells in the Pathogenesis of Alpha-gal Syndrome.,"Alpha-gal syndrome (AGS) is a novel allergic disease characterized by hypersensitivity responses following exposure to the glycan galactose-alpha-1,3-galactose (alpha-gal or α-Gal) attached to mammalian proteins and fats in food, supplements, and medications. Bites from hard-bodied ticks, including Amblyomma americanum (Aa or lone star tick) in the United States, have been identified as drivers of allergic sensitization to alpha-gal. Here, we review clinical presentation, epidemiology, diagnosis, and current understanding of the mechanistic drivers of AGS, with particular focus on the roles of allergic effector cells - mast cells (MCs) and basophils. We explore unique clinical characteristics of AGS through the lens of alpha-gal-specific IgE and MC activation in AGS. We propose potential explanations for delayed symptom onset, inconsistent symptom development, and persistence of allergic symptoms in some AGS patients despite removing all mammal products from the diet. Current evidence implicate bites from hard-bodied ticks as the primary sensitizing agent in AGS. However, there is emerging evidence that other ecto- and endoparasites may also induce alpha-gal-specific IgE. Multiparameter flow and mass cytometry and RNA sequencing have demonstrated an enrichment of unique populations of T, B, invariant natural killer T (iNKT), natural killer B (NKB) and MC progenitor cells in human volunteers with AGS. Recently developed mouse models of AGS will support future studies to identify which cells are critical for the development of AGS. In vitro models of the allergic effector phase of AGS using human sera and novel human alpha-gal-specific IgE monoclonal antibodies in humanized rat allergic effector cell lines, human basophils, human MC lines, and primary human MC cultures, confirm alpha-gal-induced allergic effector cell activation. They also provide a system to study potential alpha-gal-antigen-independent drivers of MC activation in AGS. Efforts are ongoing to understand the epidemiology and immune mechanisms of AGS. Novel reagents (e.g. alpha-gal-specific monoclonal antibodies) and murine AGS models will facilitate deeper investigation of tick-driven, alpha-gal-specific IgE and allergic effector cell-induced pathology in AGS."
41316598,Effectiveness of movement system impairment (MSI) based classification treatment on clinical outcomes among subjects with tibiofemoral hypomobility syndrome: A randomized controlled trial.,"Movement impairment of the knee exists as a repetitive microtrauma from stress induced by altered knee movement or alignment in a specific direction. The movement system impairment approach provides a framework focused on correcting faulty movement patterns. There is a lack of literature on treatment for tibiofemoral hypomobility syndrome. The study aims to compare the effectiveness of movement system impairment-based treatment (MSI) and standard physical therapy care in subjects with tibiofemoral hypomobility syndrome. This randomized controlled trial initially screened ninety-eight participants for eligibility. Of these, sixty-six individuals diagnosed with tibiofemoral hypomobility syndrome were enrolled in this study. Following the baseline assessment, the participants were randomly allocated into the experimental or the control group. Physical performance, pain severity, knee mobility, and disability were evaluated for each patient at baseline and the end of 3rd week. The findings revealed a significant improvement in pain intensity, knee mobility, physical performance, and disability (<0.001) within both groups and between both groups (NPRS p-value <0.001, knee flexion p-value <0.001, knee extension p-value <0.001, KOOS p-value <0.001, sit-to-stand p-value <0.001) over three weeks. The MSI treatment model effectively treats subjects with tibiofemoral hypomobility syndrome and shows greater improvement than standard physical therapy care. These findings suggest that MSI-based treatment can contribute to global health efforts to minimize musculoskeletal conditions. Further studies to bring long-term follow-up and other physical performance outcomes."
41316584,Case report: L3 Entrapped vertebra syndrome as a rare cause of low back pain in a semi-professional female soccer player.,"Entrapped Vertebra Syndrome is a newly described, scarcely documented condition characterized by segmental restriction, facet dysfunction and neuromuscular involvement. We present the case of a 26-year-old semi-professional soccer player with chronic and disabling low back pain, exacerbated by sports activity. The clinical evaluation showed a positive lumbar extension test, unilateral pain at L3-L4 and alterations in core activation. Magnetic resonance imaging revealed anterior displacement of L3 without spondylolisthesis, facet hypertrophy, synovitis at L3-L4, thickening of the ligamentum flavum and edema in the L3 nerve root. Differential diagnosis was established with spondylolisthesis, disc protrusion and femoral nerve entrapment. A rehabilitation program based on central stability and motor control was implemented, achieving functional recovery without recurrence of pain. This case highlights the relevance of an accurate diagnostic approach and the role of therapeutic exercise periodization in the treatment of complex lumbar pathologies in athletes."
41305776,Unmasking nonspecific pain - clinical clues and diagnostic challenges in acute aortic syndromes: Case series.,"Acute aortic syndromes, including dissection and aneurysm, are life-threatening vascular emergencies that often present with vague, nonspecific pain. Such pain may mimic common musculoskeletal or visceral disorders such as vertebrogenic, renal, or gastrointestinal pain, leading to diagnostic delays and adverse outcomes. This case series underscores how atypical vertebrogenic-like pain can conceal underlying aortic pathology and highlights the importance of early imaging in suspicious cases. A 56-year-old man with descending thoracoabdominal aortic aneurysm, and 35-year-old man with Stanford Type A ascending aortic dissection. CT angiography of the aorta due to persistent vertebrogenic back pain despite treatment of lumbar spine pathology revealing a large descending thoracoabdominal aortic aneurysm. In second case a CT scan of the cervical and thoracic spine performed after persistent pain despite cervical vertebrogenic syndrome analgesics treatment led to aortic dissection confirmation. Elective surgical repair of aneurysm via thoraco-phreno-laparotomy. The aneurysm was resected and replaced with a 22-mm aorto-aortic Dacron graft. In second case, an emergency surgery with veno-arterial extracorporeal membrane oxygenation support with an open chest due to ongoing uncontrollable hemorrhage was provided. Patient was discharged on postoperative day 7 in stable condition. A second patient passed away of early complications as systemic inflammatory response syndrome, acute renal failure, and circulatory shock. These cases emphasize the diagnostic challenges of aortic pathologies in the context of misleading clinical features. Physicians must maintain a high index of suspicion for acute aortic syndromes, particularly when encountering atypical or refractory pain in patients with cardiovascular risk factors. Early diagnosis and adherence to guideline-based management are critical to improving survival in these high-risk emergencies."
41287170,[Cameron syndrome and iron deficiency anemia in hiatal hernias].,"Hiatal hernia (HH) can cause iron deficiency anemia (IDA) development. In 5-10% patients with HH, the anemia syndrome is refractory to conservative ferrotherapy, which necessitates the antireflux surgery. A prospective study includes 42 patients with verified HH and comorbid IDA who underwent fundoplication by the method of Petrovsky National Research Center of Surgery for the period from 2023 to 2024. A complex diagnostic algorithm including extensive laboratory testing with determination of red blood cells and ferrokinetic parameters was used in all patients. The effectiveness of intervention was assessed 6 and 12 months after surgery with analysis of clinical and laboratory parameters. A complete regression of gastroesophageal reflux disease symptoms was achieved in 39 (92.8%) patients. Laboratory monitoring after 6 months demonstrated normalization of haemoglobin and serum iron levels in 35 (94.5%) of 37 examined patients. It is noteworthy that the preservation of normal haematological parameters was observed 12 months after the surgery despite the absence of additional ferrotherapy during the second half of the year that indicates a persistent clinical effect of the surgical treatment and the elimination of main anemia pathogenetic factor. The obtained data confirm a high effectiveness of HH surgery in the treatment of refractory IDA associated with Cameron syndrome and emphasize the necessity of timely detection of this pathology to optimize treatment tactics for patients."
41261598,Crowned dens syndrome combined with cervical disc herniation: A case report and literature review.,"Crowned dens syndrome (CDS) is an unusual and frequently underdiagnosed cause of intense neck pain in older people due to the lack of awareness. The clinical presentation often mimics intracranial infections, which may result in unnecessary invasive procedures and the inappropriate use of antibiotics. The patient had a long-standing history of chronic neck pain, and the acute exacerbation was initially misdiagnosed as cervical disc herniation with suspected intracranial infection before the diagnosis of CDS was established. We report the first case of an 80-year-old female patient who presented with severe suboccipital neck pain for 10 days, accompanied by restriction of rotational movement of the neck and low-grade fever. Differentiating CDS from other potential causes of neck pain, such as degenerative cervical spondylosis, fracture, or metastatic spinal tumors, is challenging given the patient's history and clinical presentation. Initially, the patient was diagnosed with cervical spondylosis. However, treatment with pain-relief patches, acupuncture, and physiotherapy did not alleviate these symptoms. Diagnosis of intracranial infection based on laboratory tests and clinical symptoms cannot be ruled out. However, the antibiotics had no effect. Plain cervical computed tomography revealed typical calcification around the odontoid process. Increased levels of inflammatory markers can contribute to the final diagnosis of CDS. Radiography of the knee joints revealed calcium deposits in the cartilage and ligament tissues, with no apparent alteration, deformity, or destruction of the joints. This finding supported the diagnosis. After combined administration of celecoxib, colchicine, and a short course of corticosteroids, the patient's fever subsided rapidly, and both neck pain and restricted cervical mobility improved significantly. Inflammatory markers, including C-reactive protein and erythrocyte sedimentation rate, decreased rapidly and were within normal limits within 7 days. There was no indication of recurrence, and C-reactive protein and erythrocyte sedimentation rate levels returned to normal at the 2-week follow-up. CDS should be considered in cases of acute pain in the neck or occipital regions. Moreover, prompt computed tomography of the cervical vertebrae may guide early diagnosis and avoid unnecessary invasive procedures or administration of antibiotics."
